6,9
11,11
0,20
16,9
17,20
20,7
1,6
0,10
3,7
2,5
1,11
6,7
5,5
10,7
14,18
6,10
10,18
0,17
7,19
14,1
12,17
19,3
18,9
15,4
18,20
8,15
8,2
5,11
10,13
9,3
6,0
11,0
16,0
12,11
16,19
13,10
18,10
17,18
3,12
4,15
2,11
9,9
5,14
10,14
8,18
6,13
11,15
9,19
7,8
6,16
13,0
11,16
18,0
15,13
16,16
13,13
20,3
2,18
18,15
2,1
4,12
2,12
9,4
5,1
3,17
10,3
7,2
6,14
12,2
17,6
14,5
19,7
1,16
17,11
15,0
13,16
20,0
1,5
0,11
18,16
3,6
1,10
4,1
10,9
5,4
11,4
9,20
7,1
16,4
11,9
0,18
7,18
14,6
13,6
20,10
0,5
15,7
1,0
0,8
3,5
9,13
10,10
5,7
16,1
14,12
11,20
15,9
16,20
13,9
20,15
19,1
1,3
8,13
3,0
2,8
5,13
10,15
8,19
16,14
14,9
20,17
11,19
1,20
17,15
7,20
19,11
12,20
3,10
8,10
2,13
9,11
10,0
8,16
6,15
11,13
7,14
13,2
19,6
18,2
13,15
20,1
1,4
0,12
3,9
2,3
2,14
6,5
5,3
11,7
10,5
7,0
6,8
5,16
14,16
19,16
10,16
11,8
14,7
20,11
19,5
12,19
0,6
15,6
18,7
13,18
20,6
1,7
2,4
4,7
9,1
6,6
5,6
7,7
5,19
19,15
0,16
7,16
15,8
13,8
20,8
14,0
0,3
15,5
17,16
3,14
4,9
9,15
8,1
5,12
4,4
3,20
8,20
6,3
16,15
15,18
11,18
17,14
0,0
1,13
4,14
2,10
9,10
3,19
8,17
6,12
4,20
11,12
17,4
16,12
14,11
13,1
7,9
11,17
18,3
15,2
20,2
18,14
0,13
3,8
4,3
10,2
